id,nombreCliente,usuarioCliente,estado,totalcuenta,fechahora
5384,Ana,anagarcia,creada,50.0,2024-11-01 01:43:00
5385,Carlos,carlito01,creada,20.0,2024-10-31 12:42:00
5386,Valeria,valeria_1,creada,50.0,2024-11-01 00:16:00
5387,Andrea,andreamg,creada,20.0,2024-11-01 07:07:00
5388,Daniel,dannyg123,creada,20.0,2024-11-01 06:25:00
5389,Daniel,dannyg123,creada,50.0,2024-11-01 05:19:00
5390,Andrea,andreamg,creada,20.0,2024-11-01 05:16:00
5391,Andrea,andreamg,creada,20.0,2024-11-01 08:13:00
5392,Ana,anagarcia,creada,40.0,2024-11-01 03:09:00
5393,Valeria,valeria_1,creada,20.0,2024-11-01 04:45:00
5394,Carlos,carlito01,creada,60.0,2024-10-31 12:27:00
5395,Daniel,dannyg123,creada,50.0,2024-11-01 04:54:00
5396,Ana,anagarcia,creada,60.0,2024-11-01 07:58:00
5397,Ana,anagarcia,creada,20.0,2024-11-01 02:29:00
5398,Valeria,valeria_1,creada,25.0,2024-10-31 17:11:00
5399,Camilo,camip1234,creada,20.0,2024-10-31 12:37:00
5400,Camila,cami_sm23,creada,20.0,2024-11-01 08:09:00
5401,Daniel,dannyg123,creada,40.0,2024-10-31 12:58:00
5402,Ana,anagarcia,creada,25.0,2024-11-01 06:28:00
5403,Ana,anagarcia,creada,20.0,2024-11-01 06:05:00
5404,Valeria,valeria_1,creada,60.0,2024-10-31 09:52:00
5405,Camilo,camip1234,creada,20.0,2024-10-31 20:18:00
5406,Camila,cami_sm23,creada,20.0,2024-10-31 15:03:00
5407,Andrea,andreamg,creada,20.0,2024-11-01 08:55:00
5408,Camila,cami_sm23,creada,60.0,2024-10-31 12:55:00
5409,Andrea,andreamg,creada,20.0,2024-10-31 10:29:00
5410,Andrea,andreamg,creada,40.0,2024-11-01 01:00:00
5411,Camilo,camip1234,creada,20.0,2024-10-31 09:36:00
5412,Ana,anagarcia,creada,20.0,2024-10-31 15:58:00
5413,Valeria,valeria_1,creada,50.0,2024-10-31 16:19:00
5414,Daniel,dannyg123,creada,60.0,2024-11-01 05:30:00
5415,Andrea,andreamg,creada,25.0,2024-10-31 16:14:00
5416,Carlos,carlito01,creada,60.0,2024-10-31 19:31:00
5417,Camilo,camip1234,creada,20.0,2024-10-31 18:32:00
5418,Andrea,andreamg,creada,60.0,2024-11-01 01:57:00
5419,Valeria,valeria_1,creada,60.0,2024-11-01 05:49:00
5420,Camila,cami_sm23,creada,20.0,2024-11-01 03:11:00
5421,Camilo,camip1234,creada,40.0,2024-10-31 15:20:00
5422,Carlos,carlito01,creada,20.0,2024-11-01 02:09:00
5423,Ana,anagarcia,creada,20.0,2024-10-31 09:09:00
5424,Camila,cami_sm23,creada,20.0,2024-10-31 20:59:00
5425,Camilo,camip1234,creada,20.0,2024-10-31 14:47:00
5426,Camila,cami_sm23,creada,60.0,2024-10-31 19:59:00
5427,Camilo,camip1234,creada,60.0,2024-11-01 08:36:00
5428,Andrea,andreamg,creada,20.0,2024-11-01 00:42:00
5429,Camilo,camip1234,creada,20.0,2024-10-31 09:55:00
5430,Camila,cami_sm23,creada,60.0,2024-10-31 09:40:00
5431,Carlos,carlito01,creada,20.0,2024-11-01 05:56:00
5432,Camila,cami_sm23,creada,20.0,2024-11-01 00:53:00
5433,Camilo,camip1234,creada,60.0,2024-11-01 02:37:00
5434,Camilo,camip1234,creada,20.0,2024-10-31 12:51:00
5435,Carlos,carlito01,creada,20.0,2024-11-01 08:13:00
5436,Daniel,dannyg123,creada,40.0,2024-10-31 13:29:00
5437,Ana,anagarcia,creada,50.0,2024-10-31 22:54:00
5438,Daniel,dannyg123,creada,50.0,2024-10-31 09:53:00
5439,Ana,anagarcia,creada,50.0,2024-10-31 17:31:00
5440,Ana,anagarcia,creada,25.0,2024-10-31 11:32:00
5441,Camila,cami_sm23,creada,20.0,2024-11-01 03:37:00
5442,Carlos,carlito01,creada,20.0,2024-11-01 01:27:00
5443,Ana,anagarcia,creada,50.0,2024-10-31 09:14:00
5444,Valeria,valeria_1,creada,40.0,2024-10-31 10:40:00
5445,Carlos,carlito01,creada,50.0,2024-11-01 08:15:00
5446,Camila,cami_sm23,creada,50.0,2024-10-31 09:39:00
5447,Carlos,carlito01,creada,25.0,2024-10-31 23:39:00
5448,Valeria,valeria_1,creada,20.0,2024-11-01 08:00:00
5449,Ana,anagarcia,creada,20.0,2024-10-31 10:28:00
5450,Carlos,carlito01,creada,60.0,2024-10-31 16:56:00
5451,Carlos,carlito01,creada,40.0,2024-10-31 13:24:00
5452,Valeria,valeria_1,creada,50.0,2024-10-31 10:49:00
5453,Valeria,valeria_1,creada,20.0,2024-10-31 13:00:00
5454,Valeria,valeria_1,creada,60.0,2024-11-01 05:48:00
5455,Daniel,dannyg123,creada,20.0,2024-10-31 19:49:00
5456,Camilo,camip1234,creada,50.0,2024-10-31 17:39:00
5457,Camilo,camip1234,creada,50.0,2024-10-31 22:16:00
5458,Daniel,dannyg123,creada,20.0,2024-11-01 05:33:00
5459,Camila,cami_sm23,creada,20.0,2024-10-31 16:31:00
5460,Carlos,carlito01,creada,20.0,2024-10-31 11:43:00
5461,Camilo,camip1234,creada,25.0,2024-10-31 15:59:00
5462,Valeria,valeria_1,creada,20.0,2024-11-01 03:06:00
5463,Camila,cami_sm23,creada,40.0,2024-10-31 22:01:00
5464,Camila,cami_sm23,creada,40.0,2024-11-01 00:12:00
5465,Ana,anagarcia,creada,50.0,2024-10-31 21:21:00
5466,Ana,anagarcia,creada,20.0,2024-10-31 17:14:00
5467,Camilo,camip1234,creada,60.0,2024-11-01 08:36:00
5468,Ana,anagarcia,creada,20.0,2024-10-31 11:12:00
5469,Camila,cami_sm23,creada,25.0,2024-10-31 20:17:00
5470,Camilo,camip1234,creada,20.0,2024-11-01 05:01:00
5471,Camilo,camip1234,creada,20.0,2024-10-31 23:44:00
5472,Ana,anagarcia,creada,20.0,2024-10-31 20:21:00
5473,Valeria,valeria_1,creada,20.0,2024-11-01 06:04:00
5474,Camilo,camip1234,creada,20.0,2024-11-01 01:29:00
5475,Carlos,carlito01,creada,25.0,2024-10-31 13:49:00
5476,Daniel,dannyg123,creada,40.0,2024-10-31 20:07:00
5477,Carlos,carlito01,creada,20.0,2024-11-01 01:20:00
5478,Valeria,valeria_1,creada,20.0,2024-11-01 04:45:00
5479,Camila,cami_sm23,creada,60.0,2024-10-31 17:27:00
5480,Valeria,valeria_1,creada,50.0,2024-11-01 00:41:00
5481,Camila,cami_sm23,creada,20.0,2024-11-01 07:48:00
5482,Andrea,andreamg,creada,20.0,2024-10-31 15:24:00
5483,Camilo,camip1234,creada,20.0,2024-10-31 14:08:00
5484,Valeria,valeria_1,creada,20.0,2024-11-01 07:29:00
5485,Camilo,camip1234,creada,60.0,2024-10-31 12:37:00
5486,Ana,anagarcia,creada,20.0,2024-10-31 09:25:00
5487,Daniel,dannyg123,creada,20.0,2024-11-01 03:04:00
5488,Camilo,camip1234,creada,50.0,2024-11-01 00:43:00
5489,Camila,cami_sm23,creada,60.0,2024-11-01 07:44:00
5490,Ana,anagarcia,creada,25.0,2024-10-31 10:36:00
5491,Daniel,dannyg123,creada,40.0,2024-11-01 01:24:00
5492,Valeria,valeria_1,creada,20.0,2024-11-01 06:36:00
5493,Andrea,andreamg,creada,25.0,2024-11-01 00:55:00
5494,Carlos,carlito01,creada,40.0,2024-10-31 10:54:00
5495,Ana,anagarcia,creada,20.0,2024-11-01 01:28:00
5496,Daniel,dannyg123,creada,20.0,2024-10-31 18:57:00
5497,Camila,cami_sm23,creada,25.0,2024-11-01 05:40:00
5498,Camila,cami_sm23,creada,20.0,2024-10-31 09:50:00
5499,Daniel,dannyg123,creada,50.0,2024-10-31 12:20:00
5500,Camilo,camip1234,creada,40.0,2024-10-31 12:17:00
5501,Camila,cami_sm23,creada,20.0,2024-11-01 02:12:00
5502,Valeria,valeria_1,creada,20.0,2024-10-31 20:17:00
5503,Ana,anagarcia,creada,60.0,2024-11-01 02:34:00
5504,Carlos,carlito01,creada,20.0,2024-10-31 10:27:00
5505,Valeria,valeria_1,creada,25.0,2024-10-31 11:52:00
5506,Carlos,carlito01,creada,50.0,2024-11-01 05:35:00
5507,Daniel,dannyg123,creada,60.0,2024-11-01 03:49:00
5508,Camila,cami_sm23,creada,40.0,2024-11-01 08:10:00
5509,Carlos,carlito01,creada,20.0,2024-10-31 14:32:00
5510,Valeria,valeria_1,creada,20.0,2024-11-01 04:30:00
5511,Valeria,valeria_1,creada,20.0,2024-11-01 06:57:00
5512,Ana,anagarcia,creada,25.0,2024-11-01 08:27:00
5513,Camilo,camip1234,creada,60.0,2024-10-31 20:10:00
5514,Camilo,camip1234,creada,25.0,2024-10-31 19:27:00
5515,Daniel,dannyg123,creada,20.0,2024-10-31 11:21:00
5516,Daniel,dannyg123,creada,60.0,2024-10-31 17:19:00
5517,Valeria,valeria_1,creada,60.0,2024-10-31 22:12:00
5518,Ana,anagarcia,creada,25.0,2024-11-01 05:12:00
5519,Camila,cami_sm23,creada,25.0,2024-11-01 08:19:00
5520,Camila,cami_sm23,creada,20.0,2024-10-31 22:27:00
5521,Ana,anagarcia,creada,20.0,2024-10-31 19:25:00
5522,Ana,anagarcia,creada,20.0,2024-11-01 05:28:00
5523,Camilo,camip1234,creada,60.0,2024-10-31 12:07:00
5524,Camilo,camip1234,creada,60.0,2024-11-01 05:09:00
5525,Camilo,camip1234,creada,50.0,2024-10-31 23:17:00
5526,Daniel,dannyg123,creada,40.0,2024-10-31 11:53:00
5527,Andrea,andreamg,creada,25.0,2024-10-31 21:06:00
5528,Daniel,dannyg123,creada,50.0,2024-10-31 20:12:00
5529,Camilo,camip1234,creada,20.0,2024-10-31 20:48:00
5530,Carlos,carlito01,creada,60.0,2024-11-01 00:50:00
5531,Carlos,carlito01,creada,50.0,2024-10-31 12:13:00
5532,Andrea,andreamg,creada,25.0,2024-10-31 15:16:00
5533,Camilo,camip1234,creada,40.0,2024-11-01 02:33:00
5534,Ana,anagarcia,creada,50.0,2024-11-01 02:18:00
5535,Daniel,dannyg123,creada,60.0,2024-10-31 17:02:00
5536,Ana,anagarcia,creada,50.0,2024-11-01 01:12:00
5537,Camila,cami_sm23,creada,20.0,2024-10-31 22:15:00
5538,Camilo,camip1234,creada,20.0,2024-10-31 17:11:00
5539,Valeria,valeria_1,creada,25.0,2024-11-01 06:22:00
5540,Ana,anagarcia,creada,20.0,2024-11-01 07:27:00
5541,Camila,cami_sm23,creada,20.0,2024-11-01 00:27:00
5542,Carlos,carlito01,creada,20.0,2024-11-01 04:59:00
5543,Andrea,andreamg,creada,40.0,2024-10-31 23:41:00
5544,Daniel,dannyg123,creada,40.0,2024-11-01 07:39:00
5545,Andrea,andreamg,creada,50.0,2024-10-31 11:57:00
5546,Ana,anagarcia,creada,50.0,2024-10-31 18:58:00
5547,Andrea,andreamg,creada,40.0,2024-11-01 03:25:00
5548,Daniel,dannyg123,creada,20.0,2024-10-31 15:38:00
5549,Camila,cami_sm23,creada,40.0,2024-10-31 23:02:00
5550,Carlos,carlito01,creada,60.0,2024-10-31 22:09:00
5551,Valeria,valeria_1,creada,40.0,2024-10-31 15:09:00
5552,Andrea,andreamg,creada,20.0,2024-10-31 18:59:00
5553,Daniel,dannyg123,creada,20.0,2024-10-31 10:22:00
5554,Valeria,valeria_1,creada,20.0,2024-11-01 08:56:00
5555,Ana,anagarcia,creada,50.0,2024-10-31 20:10:00
5556,Camilo,camip1234,creada,40.0,2024-10-31 18:59:00
5557,Andrea,andreamg,creada,40.0,2024-10-31 09:28:00
5558,Andrea,andreamg,creada,40.0,2024-11-01 08:49:00
5559,Camila,cami_sm23,creada,25.0,2024-10-31 13:56:00
5560,Carlos,carlito01,creada,20.0,2024-10-31 18:26:00
5561,Carlos,carlito01,creada,20.0,2024-10-31 22:23:00
5562,Andrea,andreamg,creada,40.0,2024-10-31 14:43:00
5563,Camilo,camip1234,creada,60.0,2024-10-31 18:28:00
5564,Camilo,camip1234,creada,50.0,2024-10-31 10:43:00
5565,Andrea,andreamg,creada,50.0,2024-11-01 01:39:00
5566,Camilo,camip1234,creada,20.0,2024-11-01 05:33:00
5567,Ana,anagarcia,creada,50.0,2024-10-31 15:11:00
5568,Daniel,dannyg123,creada,20.0,2024-10-31 23:03:00
5569,Carlos,carlito01,creada,20.0,2024-11-01 04:23:00
5570,Carlos,carlito01,creada,25.0,2024-10-31 12:20:00
5571,Valeria,valeria_1,creada,20.0,2024-11-01 03:12:00
5572,Daniel,dannyg123,creada,20.0,2024-10-31 12:58:00
5573,Carlos,carlito01,creada,60.0,2024-11-01 00:10:00
5574,Camila,cami_sm23,creada,60.0,2024-10-31 21:09:00
5575,Daniel,dannyg123,creada,25.0,2024-11-01 08:19:00
5576,Ana,anagarcia,creada,40.0,2024-11-01 07:52:00
5577,Carlos,carlito01,creada,20.0,2024-10-31 14:15:00
5578,Camilo,camip1234,creada,20.0,2024-10-31 15:03:00
5579,Camila,cami_sm23,creada,60.0,2024-10-31 19:42:00
5580,Ana,anagarcia,creada,60.0,2024-11-01 07:33:00
5581,Camila,cami_sm23,creada,60.0,2024-10-31 13:04:00
5582,Carlos,carlito01,creada,20.0,2024-10-31 11:55:00
5583,Camila,cami_sm23,creada,40.0,2024-10-31 22:58:00
5584,Andrea,andreamg,creada,50.0,2024-11-01 07:07:00
5585,Valeria,valeria_1,creada,40.0,2024-11-01 03:53:00
5586,Carlos,carlito01,creada,20.0,2024-11-01 04:43:00
5587,Camilo,camip1234,creada,20.0,2024-10-31 21:46:00
5588,Camila,cami_sm23,creada,25.0,2024-11-01 03:08:00
5589,Andrea,andreamg,creada,20.0,2024-10-31 23:05:00
5590,Andrea,andreamg,creada,20.0,2024-10-31 22:14:00
5591,Carlos,carlito01,creada,20.0,2024-11-01 03:51:00
5592,Carlos,carlito01,creada,50.0,2024-10-31 20:27:00
5593,Daniel,dannyg123,creada,60.0,2024-11-01 08:23:00
5594,Andrea,andreamg,creada,20.0,2024-10-31 22:44:00
5595,Ana,anagarcia,creada,20.0,2024-11-01 03:54:00
5596,Valeria,valeria_1,creada,40.0,2024-11-01 03:59:00
5597,Ana,anagarcia,creada,20.0,2024-10-31 22:32:00
5598,Ana,anagarcia,creada,20.0,2024-10-31 13:37:00
5599,Camila,cami_sm23,creada,40.0,2024-10-31 22:05:00
5600,Daniel,dannyg123,creada,25.0,2024-11-01 03:54:00
5601,Ana,anagarcia,creada,20.0,2024-10-31 20:19:00
5602,Carlos,carlito01,creada,20.0,2024-10-31 15:42:00
5603,Daniel,dannyg123,creada,60.0,2024-10-31 13:49:00
5604,Camila,cami_sm23,creada,50.0,2024-10-31 23:23:00
5605,Camilo,camip1234,creada,60.0,2024-11-01 07:33:00
5606,Valeria,valeria_1,creada,50.0,2024-10-31 21:48:00
5607,Carlos,carlito01,creada,50.0,2024-10-31 23:10:00
5608,Carlos,carlito01,creada,20.0,2024-10-31 12:40:00
5609,Ana,anagarcia,creada,25.0,2024-11-01 02:01:00
5610,Camilo,camip1234,creada,50.0,2024-11-01 01:20:00
5611,Daniel,dannyg123,creada,20.0,2024-10-31 17:32:00
5612,Camila,cami_sm23,creada,40.0,2024-10-31 22:20:00
5613,Ana,anagarcia,creada,25.0,2024-10-31 13:10:00
5614,Carlos,carlito01,creada,25.0,2024-11-01 01:20:00
5615,Camilo,camip1234,creada,20.0,2024-10-31 22:43:00
5616,Valeria,valeria_1,creada,60.0,2024-11-01 07:44:00
5617,Valeria,valeria_1,creada,40.0,2024-11-01 05:55:00
5618,Ana,anagarcia,creada,60.0,2024-11-01 03:46:00
5619,Andrea,andreamg,creada,20.0,2024-11-01 01:42:00
5620,Camila,cami_sm23,creada,25.0,2024-10-31 17:58:00
5621,Daniel,dannyg123,creada,25.0,2024-10-31 09:25:00
5622,Camila,cami_sm23,creada,50.0,2024-10-31 18:05:00
5623,Andrea,andreamg,creada,20.0,2024-11-01 08:28:00
5624,Valeria,valeria_1,creada,20.0,2024-10-31 23:00:00
5625,Camila,cami_sm23,creada,20.0,2024-10-31 21:39:00
5626,Camilo,camip1234,creada,40.0,2024-11-01 03:31:00
5627,Ana,anagarcia,creada,60.0,2024-11-01 05:01:00
5628,Camilo,camip1234,creada,40.0,2024-10-31 20:27:00
5629,Andrea,andreamg,creada,50.0,2024-10-31 10:30:00
5630,Andrea,andreamg,creada,60.0,2024-10-31 14:01:00
5631,Daniel,dannyg123,creada,20.0,2024-11-01 05:24:00
5632,Valeria,valeria_1,creada,20.0,2024-11-01 07:24:00
5633,Andrea,andreamg,creada,20.0,2024-10-31 19:14:00
5634,Carlos,carlito01,creada,40.0,2024-10-31 14:08:00
5635,Andrea,andreamg,creada,20.0,2024-11-01 05:57:00
5636,Ana,anagarcia,creada,25.0,2024-10-31 23:08:00
5637,Camila,cami_sm23,creada,20.0,2024-10-31 14:39:00
5638,Daniel,dannyg123,creada,60.0,2024-11-01 08:17:00
5639,Camilo,camip1234,creada,25.0,2024-10-31 13:12:00
5640,Camila,cami_sm23,creada,50.0,2024-11-01 02:55:00
5641,Valeria,valeria_1,creada,40.0,2024-10-31 11:54:00
5642,Camila,cami_sm23,creada,20.0,2024-11-01 03:49:00
5643,Daniel,dannyg123,creada,25.0,2024-10-31 17:27:00
5644,Valeria,valeria_1,creada,50.0,2024-10-31 23:11:00
5645,Andrea,andreamg,creada,20.0,2024-10-31 14:12:00
5646,Camila,cami_sm23,creada,25.0,2024-11-01 01:55:00
5647,Camilo,camip1234,creada,20.0,2024-11-01 02:49:00
5648,Daniel,dannyg123,creada,20.0,2024-10-31 16:23:00
5649,Valeria,valeria_1,creada,20.0,2024-10-31 18:51:00
5650,Ana,anagarcia,creada,60.0,2024-11-01 00:02:00
5651,Valeria,valeria_1,creada,50.0,2024-11-01 07:45:00
5652,Daniel,dannyg123,creada,20.0,2024-10-31 14:39:00
5653,Camila,cami_sm23,creada,50.0,2024-10-31 10:36:00
5654,Camila,cami_sm23,creada,20.0,2024-10-31 23:05:00
5655,Valeria,valeria_1,creada,50.0,2024-10-31 18:58:00
5656,Ana,anagarcia,creada,40.0,2024-10-31 17:45:00
5657,Carlos,carlito01,creada,60.0,2024-10-31 14:14:00
5658,Camila,cami_sm23,creada,20.0,2024-11-01 01:09:00
5659,Andrea,andreamg,creada,20.0,2024-10-31 23:42:00
5660,Valeria,valeria_1,creada,20.0,2024-11-01 03:40:00
5661,Ana,anagarcia,creada,40.0,2024-11-01 00:44:00
5662,Valeria,valeria_1,creada,25.0,2024-10-31 17:02:00
5663,Carlos,carlito01,creada,40.0,2024-11-01 07:33:00
5664,Carlos,carlito01,creada,20.0,2024-10-31 14:17:00
5665,Valeria,valeria_1,creada,60.0,2024-10-31 16:13:00
5666,Valeria,valeria_1,creada,20.0,2024-10-31 21:56:00
5667,Andrea,andreamg,creada,40.0,2024-10-31 09:32:00
5668,Ana,anagarcia,creada,50.0,2024-10-31 13:44:00
5669,Andrea,andreamg,creada,20.0,2024-10-31 14:31:00
5670,Andrea,andreamg,creada,20.0,2024-11-01 07:24:00
5671,Daniel,dannyg123,creada,60.0,2024-11-01 05:55:00
5672,Camilo,camip1234,creada,50.0,2024-10-31 18:29:00
5673,Camila,cami_sm23,creada,20.0,2024-10-31 11:40:00
5674,Carlos,carlito01,creada,20.0,2024-10-31 18:25:00
5675,Camila,cami_sm23,creada,20.0,2024-11-01 01:37:00
5676,Carlos,carlito01,creada,20.0,2024-11-01 05:28:00
5677,Ana,anagarcia,creada,20.0,2024-11-01 08:16:00
5678,Carlos,carlito01,creada,40.0,2024-10-31 10:42:00
5679,Camila,cami_sm23,creada,20.0,2024-10-31 16:37:00
5680,Daniel,dannyg123,creada,25.0,2024-10-31 16:57:00
5681,Valeria,valeria_1,creada,20.0,2024-11-01 02:30:00
5682,Camila,cami_sm23,creada,20.0,2024-11-01 04:39:00
5683,Camilo,camip1234,creada,50.0,2024-10-31 11:15:00
5684,Camila,cami_sm23,creada,20.0,2024-10-31 17:59:00
5685,Valeria,valeria_1,creada,20.0,2024-10-31 12:30:00
5686,Ana,anagarcia,creada,20.0,2024-10-31 13:28:00
5687,Ana,anagarcia,creada,20.0,2024-10-31 11:32:00
5688,Daniel,dannyg123,creada,20.0,2024-11-01 03:58:00
5689,Daniel,dannyg123,creada,20.0,2024-10-31 10:40:00
5690,Valeria,valeria_1,creada,25.0,2024-10-31 17:01:00
5691,Ana,anagarcia,creada,20.0,2024-10-31 20:27:00
5692,Daniel,dannyg123,creada,40.0,2024-10-31 18:44:00
5693,Camila,cami_sm23,creada,20.0,2024-11-01 08:51:00
5694,Ana,anagarcia,creada,20.0,2024-11-01 08:02:00
5695,Daniel,dannyg123,creada,60.0,2024-11-01 01:47:00
5696,Daniel,dannyg123,creada,20.0,2024-10-31 23:11:00
5697,Camilo,camip1234,creada,50.0,2024-10-31 20:07:00
5698,Ana,anagarcia,creada,50.0,2024-11-01 07:35:00
5699,Camilo,camip1234,creada,25.0,2024-11-01 08:51:00
5700,Daniel,dannyg123,creada,20.0,2024-10-31 12:25:00
5701,Camila,cami_sm23,creada,25.0,2024-11-01 03:37:00
5702,Andrea,andreamg,creada,20.0,2024-11-01 02:16:00
5703,Daniel,dannyg123,creada,40.0,2024-11-01 08:34:00
5704,Daniel,dannyg123,creada,60.0,2024-11-01 00:37:00
5705,Ana,anagarcia,creada,40.0,2024-10-31 22:13:00
5706,Ana,anagarcia,creada,20.0,2024-10-31 23:00:00
5707,Valeria,valeria_1,creada,20.0,2024-11-01 07:59:00
5708,Ana,anagarcia,creada,20.0,2024-10-31 11:50:00
5709,Ana,anagarcia,creada,20.0,2024-10-31 15:53:00
5710,Valeria,valeria_1,creada,25.0,2024-10-31 13:49:00
5711,Daniel,dannyg123,creada,20.0,2024-10-31 21:31:00
5712,Andrea,andreamg,creada,20.0,2024-11-01 05:37:00
5713,Andrea,andreamg,creada,20.0,2024-10-31 16:57:00
5714,Camila,cami_sm23,creada,60.0,2024-11-01 04:29:00
5715,Daniel,dannyg123,creada,20.0,2024-10-31 20:34:00
5716,Valeria,valeria_1,creada,50.0,2024-10-31 19:58:00
5717,Camilo,camip1234,creada,50.0,2024-11-01 07:23:00
5718,Andrea,andreamg,creada,50.0,2024-10-31 13:01:00
5719,Andrea,andreamg,creada,40.0,2024-10-31 14:05:00
5720,Camilo,camip1234,creada,20.0,2024-11-01 06:28:00
5721,Carlos,carlito01,creada,20.0,2024-11-01 04:11:00
5722,Camilo,camip1234,creada,50.0,2024-11-01 02:47:00
5723,Andrea,andreamg,creada,25.0,2024-10-31 22:10:00
5724,Carlos,carlito01,creada,20.0,2024-10-31 21:43:00
5725,Camilo,camip1234,creada,50.0,2024-10-31 16:20:00
5726,Andrea,andreamg,creada,50.0,2024-10-31 13:34:00
5727,Carlos,carlito01,creada,20.0,2024-10-31 15:06:00
5728,Andrea,andreamg,creada,20.0,2024-10-31 16:02:00
5729,Camila,cami_sm23,creada,40.0,2024-10-31 14:59:00
5730,Ana,anagarcia,creada,25.0,2024-10-31 13:21:00
5731,Valeria,valeria_1,creada,50.0,2024-10-31 21:20:00
5732,Daniel,dannyg123,creada,60.0,2024-11-01 01:36:00
5733,Camila,cami_sm23,creada,50.0,2024-11-01 05:32:00
5734,Ana,anagarcia,creada,40.0,2024-11-01 03:47:00
5735,Camila,cami_sm23,creada,25.0,2024-10-31 19:40:00
5736,Valeria,valeria_1,creada,25.0,2024-11-01 03:29:00
5737,Carlos,carlito01,creada,25.0,2024-11-01 01:14:00
5738,Valeria,valeria_1,creada,40.0,2024-11-01 04:58:00
5739,Ana,anagarcia,creada,40.0,2024-10-31 11:27:00
5740,Camila,cami_sm23,creada,50.0,2024-10-31 10:29:00
5741,Valeria,valeria_1,creada,25.0,2024-10-31 09:46:00
5742,Camila,cami_sm23,creada,25.0,2024-10-31 20:19:00
5743,Andrea,andreamg,creada,20.0,2024-10-31 09:37:00
5744,Carlos,carlito01,creada,20.0,2024-11-01 03:08:00
5745,Andrea,andreamg,creada,25.0,2024-10-31 23:19:00
5746,Andrea,andreamg,creada,25.0,2024-10-31 14:13:00
5747,Valeria,valeria_1,creada,25.0,2024-11-01 05:09:00
5748,Camila,cami_sm23,creada,40.0,2024-10-31 20:27:00
5749,Camila,cami_sm23,creada,20.0,2024-11-01 03:16:00
5750,Camila,cami_sm23,creada,60.0,2024-10-31 11:27:00
5751,Camila,cami_sm23,creada,20.0,2024-11-01 04:59:00
5752,Daniel,dannyg123,creada,25.0,2024-10-31 17:19:00
5753,Camilo,camip1234,creada,50.0,2024-10-31 11:43:00
5754,Camilo,camip1234,creada,25.0,2024-10-31 10:21:00
5755,Valeria,valeria_1,creada,25.0,2024-11-01 02:38:00
5756,Camilo,camip1234,creada,25.0,2024-10-31 23:54:00
5757,Carlos,carlito01,creada,40.0,2024-11-01 07:22:00
5758,Ana,anagarcia,creada,40.0,2024-10-31 19:59:00
5759,Valeria,valeria_1,creada,25.0,2024-10-31 23:30:00
5760,Daniel,dannyg123,creada,25.0,2024-11-01 01:43:00
5761,Camilo,camip1234,creada,60.0,2024-10-31 15:36:00
5762,Daniel,dannyg123,creada,60.0,2024-10-31 12:43:00
5763,Carlos,carlito01,creada,60.0,2024-10-31 22:21:00
5764,Carlos,carlito01,creada,40.0,2024-10-31 22:56:00
5765,Ana,anagarcia,creada,20.0,2024-11-01 01:04:00
5766,Camilo,camip1234,creada,20.0,2024-10-31 14:46:00
5767,Camilo,camip1234,creada,20.0,2024-10-31 15:03:00
5768,Camila,cami_sm23,creada,60.0,2024-10-31 19:24:00
5769,Camilo,camip1234,creada,20.0,2024-10-31 17:25:00
5770,Carlos,carlito01,creada,25.0,2024-11-01 07:38:00
5771,Camila,cami_sm23,creada,50.0,2024-10-31 21:53:00
5772,Ana,anagarcia,creada,40.0,2024-10-31 15:06:00
5773,Carlos,carlito01,creada,20.0,2024-10-31 22:10:00
5774,Camilo,camip1234,creada,50.0,2024-11-01 08:50:00
5775,Camilo,camip1234,creada,25.0,2024-10-31 12:18:00
5776,Valeria,valeria_1,creada,50.0,2024-10-31 18:34:00
5777,Camila,cami_sm23,creada,20.0,2024-11-01 02:12:00
5778,Camilo,camip1234,creada,20.0,2024-11-01 02:06:00
5779,Valeria,valeria_1,creada,50.0,2024-10-31 16:28:00
5780,Andrea,andreamg,creada,25.0,2024-11-01 03:17:00
5781,Ana,anagarcia,creada,40.0,2024-11-01 06:32:00
5782,Ana,anagarcia,creada,20.0,2024-11-01 02:56:00
5783,Carlos,carlito01,creada,25.0,2024-10-31 22:36:00
5784,Valeria,valeria_1,creada,50.0,2024-10-31 11:58:00
5785,Camila,cami_sm23,creada,25.0,2024-11-01 08:46:00
5786,Camila,cami_sm23,creada,50.0,2024-11-01 01:42:00
5787,Daniel,dannyg123,creada,20.0,2024-10-31 09:58:00
5788,Camila,cami_sm23,creada,20.0,2024-10-31 11:51:00
5789,Camila,cami_sm23,creada,20.0,2024-10-31 09:21:00
5790,Camilo,camip1234,creada,25.0,2024-11-01 01:45:00
5791,Valeria,valeria_1,creada,20.0,2024-11-01 00:58:00
5792,Ana,anagarcia,creada,20.0,2024-11-01 07:43:00
5793,Camilo,camip1234,creada,40.0,2024-10-31 13:49:00
5794,Camila,cami_sm23,creada,60.0,2024-10-31 23:27:00
5795,Ana,anagarcia,creada,25.0,2024-10-31 17:29:00
5796,Camila,cami_sm23,creada,20.0,2024-10-31 13:44:00
5797,Carlos,carlito01,creada,20.0,2024-11-01 01:46:00
5798,Andrea,andreamg,creada,25.0,2024-10-31 15:29:00
5799,Andrea,andreamg,creada,60.0,2024-10-31 21:07:00
5800,Carlos,carlito01,creada,20.0,2024-11-01 04:25:00
